html_url,python_files_count,bandit_any_fail,pylint_any_fail,bandit_issues_total,bandit_high,bandit_medium,bandit_low,pylint_issues_total,pylint_error,pylint_warning,pylint_refactor,pylint_convention,pylint_fatal
https://github.com/14790897/handwriting-web/pull/45,1,False,False,8,3,2,3,146,17,46,14,69,0
https://github.com/3rdIteration/btcrecover/pull/599,1,False,False,5,0,0,5,165,4,23,25,113,0
https://github.com/3rdIteration/btcrecover/pull/602,1,False,False,0,0,0,0,172,91,3,1,77,0
https://github.com/3rdIteration/btcrecover/pull/609,2,False,False,78,0,9,69,2005,40,198,46,1721,0
https://github.com/3rdIteration/btcrecover/pull/611,3,False,False,53,0,1,52,2161,80,321,186,1574,0
https://github.com/3rdIteration/btcrecover/pull/612,4,False,False,188,10,2,176,4214,207,853,468,2686,0
https://github.com/3rdIteration/btcrecover/pull/613,1,False,False,41,0,0,41,1270,60,252,172,786,0
https://github.com/3rdIteration/btcrecover/pull/614,2,False,False,191,10,10,171,3851,168,724,303,2656,0
https://github.com/3rdIteration/btcrecover/pull/617,1,False,False,66,0,8,58,1158,24,139,32,963,0
https://github.com/514-labs/moose/pull/2529,2,False,False,2,0,0,2,83,12,21,15,35,0
https://github.com/514-labs/moose/pull/2532,1,False,False,0,0,0,0,3,1,0,0,2,0
https://github.com/514-labs/moose/pull/2560,1,False,False,1,0,1,0,17,4,4,1,8,0
https://github.com/567-labs/instructor/pull/1555,3,False,False,0,0,0,0,90,18,3,10,59,0
https://github.com/567-labs/instructor/pull/1566,2,False,False,33,0,1,32,73,10,2,11,50,0
https://github.com/567-labs/instructor/pull/1567,1,False,False,9,0,0,9,12,2,0,0,10,0
https://github.com/567-labs/instructor/pull/1654,4,False,False,2,0,0,2,126,23,16,19,68,0
https://github.com/567-labs/instructor/pull/1665,12,False,False,49,0,0,49,86,18,3,6,59,0
https://github.com/567-labs/instructor/pull/1667,2,False,False,29,0,0,29,71,13,1,28,29,0
https://github.com/567-labs/instructor/pull/1677,1,False,False,1,0,0,1,32,8,5,2,17,0
https://github.com/567-labs/instructor/pull/1702,2,False,False,2,0,0,2,85,7,1,6,71,0
https://github.com/567-labs/instructor/pull/1717,2,False,False,14,0,0,14,112,13,2,7,90,0
https://github.com/567-labs/instructor/pull/1719,12,False,False,61,0,0,61,378,65,42,73,198,0
https://github.com/567-labs/instructor/pull/1726,9,False,False,4,0,0,4,132,51,4,8,69,0
https://github.com/567-labs/instructor/pull/1729,2,False,False,0,0,0,0,97,33,29,11,24,0
https://github.com/567-labs/instructor/pull/1735,3,False,False,32,0,0,32,64,12,11,6,35,0
https://github.com/567-labs/kura/pull/53,11,False,False,2,0,1,1,462,46,50,36,330,0
https://github.com/567-labs/kura/pull/60,2,False,False,0,0,0,0,57,6,2,6,43,0
https://github.com/AMICI-dev/AMICI/pull/2746,2,False,False,0,0,0,0,47,18,19,2,8,0
https://github.com/AMICI-dev/AMICI/pull/2794,4,False,False,10,2,0,8,154,42,32,18,62,0
https://github.com/AMICI-dev/AMICI/pull/2795,9,False,False,7,0,1,6,354,94,98,61,101,0
https://github.com/AMICI-dev/AMICI/pull/2807,8,False,False,1,0,0,1,131,47,20,17,47,0
https://github.com/AMICI-dev/AMICI/pull/2841,8,False,False,7,0,0,7,489,113,131,105,140,0
https://github.com/APPFL/APPFL/pull/315,6,False,False,0,0,0,0,55,26,6,9,14,0
https://github.com/APPFL/APPFL/pull/316,1,False,False,0,0,0,0,18,6,0,7,5,0
https://github.com/APPFL/APPFL/pull/317,1,False,False,9,0,0,9,51,3,8,22,18,0
https://github.com/AgentOps-AI/agentops/pull/1064,1,False,False,0,0,0,0,11,5,0,0,6,0
https://github.com/AgentOps-AI/agentops/pull/1134,1,False,False,0,0,0,0,12,7,0,0,5,0
https://github.com/AgentOps-AI/agentops/pull/1156,4,False,False,2,0,2,0,147,24,8,33,82,0
https://github.com/AgentOps-AI/agentops/pull/1179,1,False,False,0,0,0,0,19,0,9,4,6,0
https://github.com/AgentOps-AI/agentops/pull/605,6,False,False,6,0,0,6,72,29,6,2,35,0
https://github.com/AgentOps-AI/agentops/pull/650,4,False,False,3,0,0,3,109,31,7,2,69,0
https://github.com/AgentOps-AI/agentops/pull/729,15,False,False,77,0,0,77,273,71,94,10,98,0
https://github.com/AliAkhtari78/SpotifyScraper/pull/21,9,False,False,23,0,2,21,319,19,69,13,218,0
https://github.com/AliAkhtari78/SpotifyScraper/pull/48,6,False,False,24,0,0,24,128,20,21,7,80,0
https://github.com/Arize-ai/phoenix/pull/8571,1,False,False,15,0,0,15,38,21,4,4,9,0
https://github.com/Arize-ai/phoenix/pull/8645,3,False,False,46,0,0,46,63,27,12,8,16,0
https://github.com/Arize-ai/phoenix/pull/8660,5,False,False,29,0,0,29,171,60,7,27,77,0
https://github.com/Arize-ai/phoenix/pull/8661,2,False,False,2,0,0,2,128,37,14,19,58,0
https://github.com/Arize-ai/phoenix/pull/8792,1,False,False,4,0,0,4,148,36,3,50,59,0
https://github.com/Azure-Samples/openai-chat-vision-quickstart/pull/60,1,False,False,0,0,0,0,16,3,1,0,12,0
https://github.com/Azure-Samples/rag-postgres-openai-python/pull/236,3,False,False,12,0,0,12,47,11,6,2,28,0
https://github.com/Azure/azure-kusto-python/pull/583,2,False,False,11,0,1,10,48,7,21,0,20,0
https://github.com/Azure/azure-sdk-for-net/pull/50182,1,False,False,3,0,0,3,112,0,21,8,83,0
https://github.com/Azure/azure-sdk-for-python/pull/41310,1,False,False,5,0,0,5,26,1,13,3,9,0
https://github.com/Azure/azure-sdk-for-python/pull/41352,2,False,False,0,0,0,0,28,4,14,0,10,0
https://github.com/Azure/azure-sdk-for-python/pull/41413,2,False,False,0,0,0,0,8,1,1,0,6,0
https://github.com/Azure/azure-sdk-for-python/pull/41463,6,False,False,0,0,0,0,96,15,31,0,50,0
https://github.com/Azure/azure-sdk-for-python/pull/41492,3,False,False,31,0,0,31,135,14,18,6,97,0
https://github.com/Azure/azure-sdk-for-python/pull/41797,2,False,False,6,0,2,4,157,12,28,5,112,0
https://github.com/Azure/azure-sdk-for-python/pull/41852,3,False,False,0,0,0,0,48,33,7,0,8,0
https://github.com/Azure/azure-sdk-for-python/pull/41942,2,False,False,73,0,1,72,128,8,17,10,93,0
https://github.com/Azure/azure-sdk-for-python/pull/42024,1,False,False,5,0,0,5,520,53,94,49,324,0
https://github.com/Azure/azure-sdk-for-python/pull/42047,5,False,False,56,0,0,56,356,40,117,33,166,0
